iter	Passed	Remaining
645	149761	197981
646	149978	197730
647	150211	197499
648	150447	197274
649	150727	197105
650	150954	196866
651	151254	196724
652	151514	196527
653	151783	196343
654	152084	196200
655	152268	195906
656	152548	195736
657	152838	195577
658	153106	195391
659	153358	195183
660	153633	195004
661	153890	194804
662	154119	194567
663	154347	194329
664	154590	194109
665	154934	194016
666	155210	193839
667	155499	193675
668	155869	193614
669	156151	193441
670	156437	193273
671	156637	192999
672	156933	192843
673	157232	192691
674	157572	192588
675	157888	192455
676	158228	192352
677	158537	192208
678	158821	192035
679	159095	191850
680	159391	191691
681	159630	191463
682	159919	191294
683	160230	191151
684	160565	191037
685	160855	190869
686	161131	190684
687	161423	190517
688	161720	190356
689	162076	190264
690	162385	190115
691	162627	189888
692	162853	189643
693	163067	189383
694	163308	189155
695	163544	188922
696	163788	188696
697	163989	188423
698	164234	188200
699	164487	187986
700	164735	187765
701	164994	187557
702	165232	187326
703	165450	187071
704	165678	186828
705	165926	186608
706	166114	186320
707	166339	186075
708	166562	185826
709	166768	185558
710	167015	185338
711	167239	185091
712	167455	184835
713	167670	184578
714	167877	184313
715	168055	184016
716	168256	183744
717	168451	183466
718	168673	183218
719	168911	182987
720	169134	182739
721	169353	182488
722	169589	182256
723	169766	181959
724	169989	181712
725	170206	181459
726	170430	181213
727	170642	180955
728	170861	180705
729	171116	180492
730	171361	180269
731	171576	180014
732	171802	179771
733	172019	179519
734	172220	179249
735	172436	178996
736	172705	178798
737	172936	178560
738	173158	178313
739	173361	178047
740	173549	177765
741	173766	177513
742	174010	177288
743	174243	177053
744	174449	176790
745	174577	176449
746	174824	176228
747	175027	175963
748	175252	175720
749	175495	175495
750	175687	175220
751	175933	174997
752	176175	174771
753	176404	174532
754	176631	174291
755	176844	174037
756	177079	173804
757	177310	173567
758	177540	173329
759	177734	173056
760	177980	172835
761	178223	172610
762	178439	172358
763	178620	172073
764	178845	171832
765	179051	171571
766	179273	171326
767	179490	171077
768	179715	170835
769	179933	170586
770	180170	170355
771	180383	170102
772	180599	169852
773	180826	169612
774	181069	169387
775	181310	169161
776	181563	168945
777	181780	168696
778	182009	168458
779	182229	168212
780	182449	167965
781	182664	167715
782	182890	167474
